Title,Accession,Organism,Summary,Overall_design,PubmedID,Journal
SLFN11 blocks stressed replication forks independently of ATR,GSE101516,Homo sapiens,SLFN11 sensitizes cancer cells to a broad range of DNA-targeted therapies. Here we show that， in response to replication stress induced by camptothecin， SLFN11 tightly binds chromatin at stressed replication foci via RPA1 together with the replication helicase subunit MCM3. Unlike ATR， SLFN11 neither interferes with the loading of CDC45 and PCNA nor inhibits the initiation of DNA replication but selectively blocks fork progression while inducing chromatin opening across replication initiation sites. The ATPase domain of SLFN11 is required for chromatin opening， replication block and cell death but not for the tight binding of SLFN11 to chromatin. Replication stress by the CHK1 inhibitor Prexasertib also recruits SLFN11 to nascent replicating DNA together with CDC45 and PCNA. We conclude that SLFN11 is recruited to stressed replication forks carrying extended RPA filaments where it blocks replication by changing chromatin structure across replication sites.,Nascent strand abundance assay (Nascent strand DNA-seq; NS-seq)Replication origins were identified using the nascent-strand sequencing and abundance assay (Fu et al.， 2014; Martin et al.， 2011). In brief， twenty million of CCRF-CEM parental and SLFN11-del cells were treated with DMSO， CPT (100 nM)， or CPT (100 nM) and VE-821 (2 Î¼M) for four hours. DNA fractions (0.5-2 kb) were isolated using DNA fractionation on a 5-30% neutral sucrose gradient. 5â single strand DNA ends were phosphorylated by T4 polynucleotide kinase (NEB) and then treated with lambda-exonuclease (NEB) to remove genomic DNA fragments that lacked the phosphorylated RNA primer. After RNase treatment， purified single stranded nascent DNA were random-primed using the Klenow and DNA Prime Labeling System (Invitrogen). Double-stranded nascent DNA (1 Î¼g) was sequenced using the Illumina genome analyzer II (Solexa).Assay for Transposase-Accessible Chromatin with high throughput sequencing (ATAC-seq)Genome-wide mapping of chromatin accessibility was done by following the published method (Buenrostro et al.， 2015). Briefly， fifty thousand CCRF-CEM parental and SLFN11-del cells were treated with DMSO or CPT (100 nM) for 2 and 4 hours. K562-Vector， -WT and âE669Q cells were treated with DMSO or CPT (1 Î¼M) for 4 hours. To prepare nuclei， cells were lysed using cold lysis buffer (10 mM Tris-Cl， pH 7.4， 10 mM NaCl， 3 mM MgCl2 and 0.1% IGEPAL CA-630). Immediately following the nuclei preparation， the pellet was re-suspended in the transposase reaction mix [25 Î¼l 2x TD buffer， 2.5 Î¼l Transposase (Illumina) and 22.5 Î¼l of nuclease free water]， and incubated for 30 minutes at 37 Â°C. Directly following transposition， the sample was purified using a DNA Clean and Concentrator-5 (ZYMO RESEARCH) and eluted with 25 Î¼l of DNA elution buffer. Following purification， we amplified library fragments using 1x NEBnext PCR master mix and 1.25 Î¼M of custom Nextera PCR primers 1 and 2， using the following PCR conditions: 72Â°C for 5 minutes， 98Â°C for 30 seconds， followed by thermo-cycling at 98Â°C for 10 seconds， 63Â°C for 30 seconds and 72Â°C for 1 minute. We amplified the full libraries for 5 cycles， after 5 cycles we took an aliquot of the PCR reaction and added 10 Î¼l of the PCR cocktail with Syber Green at a final concentration of 0.6x. We ran this reaction for 20 cycles， to determine the additional number of cycles needed for the remaining 45 Î¼L reaction. Libraries were amplified for a total of 10â12 cycles and purified using a PCRClean DX yielding a final library concentration of ~30 nM in 20 Î¼l.,29395061,Mol Cell
Genome-wide location analysis of WNT (Tcf7l2) and BMP (SMAD1) in human hematopoeitic progenitors co-occupied with lineage specific regulators (GATA1， GATA2),GSE29194,Homo sapiens,Lineage regulators direct BMP and Wnt pathways to cell-specific programs during differentiation and regeneration. This represents the human CD34 ChIP-seq portion of this dataset.,Human hematopoietic cells were cross-linked with formaldehyde for 20 min. DNA was enriched by chromatin immunoprecipitation (ChIP) and analyzed by Solexa sequencing. A sample of whole cell extract (WCE) was sequenced and used as the background to determine enrichment. ChIP was performed using an antibody against total Smad1 (Santa Cruz SC-7965)， Tcf7l2 (Santa Cruz SC-8631)，Gata1 (Santa Cruz SC-265)，  Gata2 (Santa Cruz SC-9008) or CEBPA (SC-9314).,22036566,Cell
Tracing the temporal-spatial transcriptomic landscapes of the human fetal digestive tract by single cell RNA-seq analysis,GSE103239,Homo sapiens,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,29802404,Nat Cell Biol
Genome-wide identification of Ikaros binding sites in primary pre-B cells,GSE42462,Mus musculus,Ikaros DNA binding proteins are important regulators of haematopoiesis and genetic deletion of Ikaros results in severe developmental disturbances， including delayed thymocyte differentiation and an early and complete block in B cell development. Although Ikaros ChIP-seq data are available for mouse thymocytes and human haematopoietic progenitors， it has not been achieved in B cell progenitors. The goal of this study was to identify Ikaros binding sites in pre-B cells to define Ikaros target genes which could explain the essential role of Ikaros proteins in B cell differentiation.,We carried out chromatin immunoprecipitation and high throughput sequencing (ChIP-seq) with antibodies to the C-terminus of endogenous Ikaros in primary pre-B cells isolated from mouse fetal livers.,23303821,Blood
Time series of Methanococcus maripaludis MM901:del_fruA (MMP1382)-del_frcA (MMP0820)， a shift from a H2-excess and P-limiting condition to a H2-limited and P-excess condition in chemostats (growth rate held constant),GSE42165,Methanococcus maripaludis S2,Methanogens catalyze the critical， methane-producing step (called methanogenesis) in the anaerobic decomposition of organic matter and have applications in carbon-neutral fuel production. Here， we present the first predictive model of global gene regulation of methanogenesis in a hydrogenotrophic methanogen， Methanococcus maripaludis. We generated a comprehensive list of genes (protein-coding and non-coding) for M. maripaludis through integrated analysis of the transcriptome structure and a newly constructed Peptide Atlas. The environment and gene-regulatory influence network (EGRIN) model of the strain was constructed from a compendium of transcriptome data that was collected over 100 different steady-state and time course experiments that were performed in chemostats， or batch cultures， under a spectrum of environmental perturbations that modulated methanogenesis. We discovered that at least five regulatory mechanisms act in a combinatorial scheme to inter-coordinate key steps of methanogenesis with different processes such as motility， ATP biosynthesis， and carbon assimilation. Through a combination of genetic and environmental perturbation experiments we have validated the EGRIN-predicted role of two novel TFs in the regulation of phosphate-dependent repression of formate dehydorgenase â a key enzyme in the methanogenesis pathway.,The strain was grown by continuous culture in a one-liter fermenter (New Brunswick Scientific， Edison， NJ) at 37Â°C (FEMS Microbiol Lett 238: 85-91， 2004). Medium and gas compositions were modified from those for non-limiting conditions (BMC Microbiol 9: 149， 2009).   Growth conditions were carefully designed to separate the effects of different environmental factors. To ensure physico-chemical factors being constant， all cell cultures were performed using continuous cultivations with a constant dilution rate. The standard gassing regime was 110 mL/min H2， 40 mL/min CO2， 35 mL/min Ar， and 15 mL/min H2S/Ar mixture (1:99). For shifts from a H2 excess to a H2 limited condition， H2 was lowered from standard 110 mL/min to 21 mL/min and Ar was raised from standard 35 mL/min to 125 mL/min. For shifts from P-limited to P-excess conditions， phosphate was raised from 0.13 mM to the standard 0.8 mM. The dilution rate was held constant at 0.083 h-1. For time-series array data， cultures before perturbation were allowed to reach steady state. We rapidly changed concentration(s) of H2 and/or a nutrient， and sampled at intervals after the perturbation; right away， after 5 mins， 10， 20， 30， 45， 60， 90， 120， 180， and 300 mins. Culture samples (1.5 mL) were rapidly removed from the chemostat vessels by syringe and cell pellets collected by microcentrifugation， immediately frozen in an ethanol-dry ice bath， and stored at -80Â°C.  Total RNA from each sample was compared against a reference RNA pool that was generated in bulk from a mid-log phase culture of MM901. Total RNA from samples and reference were directly labeled with Cy3 or Cy5， and were hybridized to the tiling array. After hybridization and washing according to array manufacturer's instructions， the arrays were scanned by Microarray Scanner (Agilent Technologies， Santa Clara， CA). Dye-flip experiments were done for each sample.,24089473,Genome Res
hnRNP U protein is required for normal pre-mRNA splicing and postnatal heart development and function,GSE68178,Mus musculus,We profiled the gene expression/splicing program of normal and hnRNP U-deficient mouse hearts by RNA-seq.,RNA-seq profiles of control and Hnrnpu mutant hearts at postnatal day 14. Hnrnpu mutant hearts were generated by breeding the Hnrnpu conditional knockout mice with Ckmm-Cre transgenic mice.,26039991,Proc Natl Acad Sci U S A
Transcriptional responses of inbred lines B73， B75 and B96 and resulting F1 lines to herbivory by Tetranychus urticae,GSE116496,Zea mays,The extreme generalist two-spotted spider mite， Tetranychus urticae， which is documented to feed on more than 1100 plant hosts， is becoming an increasingly important agricultural pest. Historically， as studies of plant-herbivore interactions have focused largely on insects， considerably less research has investigated plant responses to spider mite herbivores， especially in grasses. To identify intraspecific differences in maize response to T. urticae， we collected RNA-seq data from three maize (Zea mays) inbred lines (B73， B75 and B49) as well as two F1 lines arising from crosses between B73 x B75 and B73 x B96. For each maize line， RNA-seq data was collected from uninfested leaves (control) and leaves infested with T. urticae for 24 hours.,The experiment was performed with four or eight (in the case of B73 only) biological replicates across each of the following (48 samples in total): control uninfested B73 (B73-C)， T. urticae infested B73 (B73-T)， control uninfested B75 (B75-C)， T. urticae infested B75 (B75-T)， control uninfested B96 (B96-C)， T. urticae infested B96 (B96-T)， control uninfested B73xB75 F1s (F1-B73-B75-C)， T. urticae infested B73xB75 F1s (F1-B73-B75-T)， control uninfested B73xB96 F1s (F1-B73-B96-C) and T. urticae infested B73-B96 F1s (F1-B73-B96-T). B73 replicates 1-4 should be used as references for all samples related to B96， while B73 replicates 5-8 should be used as references for all samples related to B75.,nan,
Rate of elongation by RNA polymerase II is influenced by specific gene features and histone modifications,GSE55534,Homo sapiens,The rate of transcription elongation plays important roles in the timing of expression of full-length transcripts as well as for the regulation of alternative splicing. In this study we coupled Bru-Seq technology with 5，6-dichlorobenzimidazole 1-Î²-D-ribofuranoside (DRB) to estimate the elongation rates of over 2，000 individual genes in human cells. This technique， BruDRB-Seq， revealed gene-specific differences in elongation rates with a median rate of around 1.5 kb/min. We found that genes with fast elongation rates showed higher densities of H3K79m2 and H4K20me1 marks compared to slower elongating genes. Furthermore， fast elongation rates had a positive correlation with gene length， low complexity DNA sequence and distance from nearest active transcription unit. Features that negatively correlated with elongation rate included exon density and the number of LINE sequences in the gene. The BruDRB-Seq technique offers new opportunities to interrogate mechanisms of regulation of transcription elongation.,Measurement of RNA Pol II elogation rate. Normal fibroblasts (HF1 and TM)， Cockayne syndrome group B fibroblasts， K562 and MCF-7 cells were exposed to DRB for 60 minutes， after which a washout was performed. Nascent RNA was labeled using bromouridine for 10 minutes immediately after the washout. The genomic region extending from actice Trancription Start Sites was used to determine the gene's elongation rate.Please note that the nf_0h_3* samples are duplicated sample records of GSM1062445 and GSM1062446， for the convenient retrieval of the complete raw data from SRA.,24714810,Genome Res
Endogenous DAF-16 genome-wide recruitment under low Insulin signalling condition in Caenorhabditis elegans,GSE67975,Caenorhabditis elegans,In order to understand the complexity of gene regulation downstream of IIS， we did RNA-seq in mixed culture in wild-type， daf-2(e1370)， daf-16(mgDf50);daf-2(e1370) and daf-2(e1370);daf-12(m20 and correlated it with ChIP-seq data,RNA-seq profile of different mutants in mix stage,26539642,Oncotarget
Endogenous DAF-16 genome-wide recruitment under low Insulin signaling condition in Caenorhabditis elegans,GSE63865,Caenorhabditis elegans,In order to understand the complexity of gene regulation downstream of IIS， we used anti-DAF-16 antibody， we report the first genome-wide ChIP-sequencing study of endogenous DAF-16 recruitment  in daf-2(e1370). We also report the average bin-wise normalized read count of ZFP-1 and DAF-16 on DAF-16 summits,ChIP-Seq profile of DAF-16 in mix stage,26539642,Oncotarget
Comprehensive Epigenomic Analysis Reveals Dynamic Regulatory Programs Of Blood Development (TF ChIP-seq),GSE69099,Mus musculus,Embryonic hematopoiesis is regulated by the coordinated interaction between transcription factors and the epigenetic regulators driving developmental-stage specific gene expression but how this process drives hematopoietic specification and terminal differentiation is poorly understood. Here we generated RNA-Seq， DNase-Seq and ChIP-Seq data for histone marks and transcription factors from ES-cell derived purified cells representing six sequential stages of blood cell specification and differentiation. Our data reveal the binding patterns of specific transcription factors involved in the priming and maintenance of distal elements and inform how binding impacts on promoter activity. Functional studies based on these data uncovered a previously unrecognised role for Hippo signalling in mammalian hematopoietic specification. Finally， we present a dynamic core regulatory network model for hematopoiesis and demonstrate its utility for the design of reprogramming experiments. Our study represents a powerful resource for studying hematopoiesis and demonstrates how such data can advance our understanding of mammalian development.,ChIP-seq data of histone modifications and transcription factors， and RNA-seq data obtained from purified cells representing five sequential stages of murine blood cell specification and differentiation,26923725,Dev Cell
Comprehensive Epigenomic Analysis Reveals Dynamic Regulatory Programs Of Blood Development (TF ChIP-seq),GSE69099,Mus musculus,Embryonic hematopoiesis is regulated by the coordinated interaction between transcription factors and the epigenetic regulators driving developmental-stage specific gene expression but how this process drives hematopoietic specification and terminal differentiation is poorly understood. Here we generated RNA-Seq， DNase-Seq and ChIP-Seq data for histone marks and transcription factors from ES-cell derived purified cells representing six sequential stages of blood cell specification and differentiation. Our data reveal the binding patterns of specific transcription factors involved in the priming and maintenance of distal elements and inform how binding impacts on promoter activity. Functional studies based on these data uncovered a previously unrecognised role for Hippo signalling in mammalian hematopoietic specification. Finally， we present a dynamic core regulatory network model for hematopoiesis and demonstrate its utility for the design of reprogramming experiments. Our study represents a powerful resource for studying hematopoiesis and demonstrates how such data can advance our understanding of mammalian development.,ChIP-seq data of histone modifications and transcription factors， and RNA-seq data obtained from purified cells representing five sequential stages of murine blood cell specification and differentiation,26923725,Development
Comprehensive Epigenomic Analysis Reveals Dynamic Regulatory Programs Of Blood Development (TF ChIP-seq),GSE69099,Mus musculus,Embryonic hematopoiesis is regulated by the coordinated interaction between transcription factors and the epigenetic regulators driving developmental-stage specific gene expression but how this process drives hematopoietic specification and terminal differentiation is poorly understood. Here we generated RNA-Seq， DNase-Seq and ChIP-Seq data for histone marks and transcription factors from ES-cell derived purified cells representing six sequential stages of blood cell specification and differentiation. Our data reveal the binding patterns of specific transcription factors involved in the priming and maintenance of distal elements and inform how binding impacts on promoter activity. Functional studies based on these data uncovered a previously unrecognised role for Hippo signalling in mammalian hematopoietic specification. Finally， we present a dynamic core regulatory network model for hematopoiesis and demonstrate its utility for the design of reprogramming experiments. Our study represents a powerful resource for studying hematopoiesis and demonstrates how such data can advance our understanding of mammalian development.,ChIP-seq data of histone modifications and transcription factors， and RNA-seq data obtained from purified cells representing five sequential stages of murine blood cell specification and differentiation,29530939,Dev Cell
Comprehensive Epigenomic Analysis Reveals Dynamic Regulatory Programs Of Blood Development (TF ChIP-seq),GSE69099,Mus musculus,Embryonic hematopoiesis is regulated by the coordinated interaction between transcription factors and the epigenetic regulators driving developmental-stage specific gene expression but how this process drives hematopoietic specification and terminal differentiation is poorly understood. Here we generated RNA-Seq， DNase-Seq and ChIP-Seq data for histone marks and transcription factors from ES-cell derived purified cells representing six sequential stages of blood cell specification and differentiation. Our data reveal the binding patterns of specific transcription factors involved in the priming and maintenance of distal elements and inform how binding impacts on promoter activity. Functional studies based on these data uncovered a previously unrecognised role for Hippo signalling in mammalian hematopoietic specification. Finally， we present a dynamic core regulatory network model for hematopoiesis and demonstrate its utility for the design of reprogramming experiments. Our study represents a powerful resource for studying hematopoiesis and demonstrates how such data can advance our understanding of mammalian development.,ChIP-seq data of histone modifications and transcription factors， and RNA-seq data obtained from purified cells representing five sequential stages of murine blood cell specification and differentiation,29530939,Development
RNA-seq transcriptonal profiling in partial hepatectomy liver tissues in Arid1a WT and liver specific KO mice.,GSE76926,Mus musculus,Arid1a is the subunit of SWI/SNF complex， which was reported to guide SWI/SNF to DNA. Here， we found that loss of Arid1a in the liver  results in improved liver regeneration after partial hepatectomy.Genome-wide analysis showed that after hepatectomy，loss of Arid1a reduces the recruitment and activity of E2F4 on target promoters， resulting in expression programs that favor regeneration during injury.RNAseq shows transcriptional profiling in WT and Arid1a LKO livers pre- and post-hepatectomy， which confirmed the E2F4 target genes and cell cycle genes were upregulated after hepatectomy.,After partial hepatectomy， liver transcriptional profiling in WT and Arid1a liver specific KO mice were generated by RNA-seq analysis.,27044474,Cell Stem Cell
Genome-wide expression profiling of whole of uhrf1 mutant zebrafish compared to WT siblings at 120 hpf,GSE91024,Danio rerio,The goal of this study is to compare gene expression levels in whole uhrf1 mutant larvae to phenotypically normal siblings.,Larvae were segregated by phenotype on 5 dpf and 10 larvae with the mutant phenotype and phenotypically normal siblings were pooled.  RNA was extracted. Libraries were prepared according to Illumina Truseq RNA sample prep kit， version 2， followed by Ribo-Zero Gold treatment. Larvae from two separate clutches were analyzed.,28698226,Development
H-STS NET cell line perturbed with small molecule compounds,GSE96760,Homo sapiens,Expression profile of H-STS NET cell line at 6h and 24h after perturbation with small molecule compounds.,H-STS cells were perturbed with small molecule compounds at isopotent concentrations， corresponding to ED20 and 1/10 of it， as measured by cell viability assays at 60h， or vehicle control (DMSO， ethanol and methanol). The cells were lysed at 6h and 24h after perturbation and total RNA isolated. Libraries for RNA-seq were generated with the TruSeq protocol (Illumina) and sequenced in a Hi-Seq 2500 instrument (Illumina).,29915428,Nat Genet
seq-SDQ3892_MIX1_N2_Mxemb,GSE50310,Caenorhabditis elegans,modENCODE_submission_6237This submission comes from a modENCODE project of Jason Lieb. For full list of modENCODE projects， seehttp://www.genome.gov/26524648Project Goal: The focus of our analysis will be elements that specify nucleosome positioning and occupancy， control domains of gene expression， induce repression of the X chromosome， guide mitotic segregation and genome duplication， govern homolog pairing and recombination during meiosis， and organize chromosome positioning within the nucleus. Our 126 strategically selected targets include RNA polymerase II isoforms， dosage-compensation proteins， centromere components， homolog-pairing facilitators， recombination markers， and nuclear-envelope constituents. We will integrate information generated with existing knowledge on the biology of the targets and perform ChIP-seq analysis on mutant and RNAi extracts lacking selected target proteins.For data usage terms and conditions， please refer tohttp://www.genome.gov/27528022andhttp://www.genome.gov/Pages/Research/ENCODE/ENCODEDataReleasePolicyFinal2008.pdf,EXPERIMENT TYPE: CHIP-seq. BIOLOGICAL SOURCE: Strain: N2; Developmental Stage: Mixed Embryo; Genotype: wild type; Sex: mixed Male and Hermaphrodite population;  EXPERIMENTAL FACTORS: Developmental Stage Mixed Embryo; temp (temperature) 20 degree celsius; Strain N2; Antibody MIX-1 SDQ3892 (target is MIX-1),nan,
Bisulfite methylome sequencing of msh1 memory line in arbidopsis [Bisulfite-seq],GSE106309,Arabidopsis thaliana,MSH1Â depletion caused whole genome wide Methylome changes in Arabidopsis， to conduct comparative genomic analysis， here we generate methylome for Â MSH1-RNAi line and transgene segregated outÂ msh1Â memory lineÂ,3 wildtype plants，and 3 msh1 memory plants been sequenced,nan,
Inducible DamID systems for genomic mapping of chromatin proteins in Drosophila,GSE75835,Drosophila melanogaster,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,27001518,Nucleic Acids Res
The transcription factor Grainyhead primes epithelial enhancers for spatiotemporal activation by displacing nucleosomes [ATAC-seq Grh mutants and Human GRHL],GSE108019,Drosophila melanogaster;Homo sapiens,Transcriptional enhancers function as docking platforms for combinations of transcription factors to control gene expression. How enhancer sequences determine nucleosome occupancy， transcription factor recruitment， and transcriptional activation in vivo remains unclear. Using ATAC-seq across a panel of Drosophila inbred strains we found that SNPs affecting Grainyhead binding sites causally determine the accessibility of epithelial enhancers. We show that deletion or ectopic expression of Grh causes loss or gain of DNA accessibility， respectively. However， while Grh binding is necessary for enhancer accessibility， it is insufficient to activate enhancers. Finally， we show that human Grh homologs， GRHL1/2/3， function similarly. We conclude that Grh binding is necessary and sufficient for the opening of epithelial enhancers， but not for their activation. Our data support the model that complex spatiotemporal expression patterns are controlled by regulatory hierarchies in which pioneer factors， such as Grh， establish tissue-specific accessible chromatin landscapes upon which other factors can act.,ATAC-seq on control and Grh mutant eye-antennal discs.ATAC-seq on control larval brains and larval brains that ectopically express  the epithelial isoform of Grh.Omni-ATAC-seq on control MCF7 cells and on MCF7 cells with GRHL1，2，3 knockdown.Experiments to establish the pioneering role of Grainyhead.,29867222,Nat Genet
TSA-Seq Mapping of Nuclear Genome Organization [seq],GSE81553,Homo sapiens,We describe TSA-Seq， a new mapping method able to estimate mean chromosomal distances from nuclear speckles genome-wide and predict several Mbp chromosome trajectories between nuclear compartments without sophisticated computational modeling.  Ensemble-averaged results reveal a clear nuclear lamina to speckle axis correlated with a striking spatial gradient in genome activity.  This gradient represents a convolution of multiple， spatially separated nuclear domains， including two types of transcription ?hot-zones?.  Transcription hot-zones protruding furthest into the nuclear interior and positioning deterministically very close to nuclear speckles have higher numbers of total genes， the most highly expressed genes， housekeeping genes， genes with low transcriptional pausing， and super-enhancers.,We used TSA-Seq to study genome organization relative to nuclear speckles and the nuclear lamina. For nuclear speckles， we performed TSA-Seq using two different antibodies against the protein SON and an antibody against a phosphorylated epitope of the protein SC35. We also performed TSA-Seq using an antibody against RNA Pol II as a general marker for active nuclear domains to compare with the speckle TSA-Seq chromosome patterns. For the nuclear lamina， we performed TSA-Seq using antibodies against lamin B and Lamin A/C. For each TSA-Seq experiment， a no primary control experiment was done in parallel， where the same TSA-Seq procedure is performed but with no added primary antibody.,30154186,J Cell Biol
XH lncRNA tend to participate in transcriptional or development regulations as their coding neighbors,GSE62899,Mus musculus,We report that head to head long noncoding RNAs contribute to transcription and developmental process. Thousands of lncRNAs have been identified in the whole genome， and classified to several subgroups based on the genome position with their coding neighbors. XH， the head to head subgroup is associated with transcription and development in GO analysis. Here， we knockdown serveral XH lncRNA by shRNA in embryonic stem cells and induce nondirectional differentiation by removing LIF or neural differentiation by RA. Knockdown of XH lncRNAs led to uniform downregulation of nearby coding genes， and form regulatory circuits with its nearby coding genes to fine-tune embryonic lineage development. We propose that XH lncRNA may function primarily as 'cis-regulators' of the expression of nearby protein-coding genes， and tend to participate in transcriptional or development regulations as their coding neighbors.,All RNA-seq(s) were designed to reveal the differentially expressed genes between wild-type or XH lncRNA knockdown ESCs during differentiation.,nan,
Spatiotemporal role of the lncRNA Evx1as in embryonic patterning,GSE104292,Mus musculus,We performed spatial transcriptome analysis on cryosections of gastrulating embryos from E6.5 to E7.5 by low-input RNA sequencing (Geo-seq). Careful spatial transcriptomic analysis revealed that the lncRNA Evx1as plays a transient spatiotemporal role in regulating embryonic patterning during gastrulation， yet is dispensable for overall development and survival. Altogether， these results suggest that many lncRNAs are generally dispensable for normal development and survival， but may be selectively required in a particular context in vivo.,All RNA-seq(s) were designed to reveal the spatiotemporal role of lncRNA Evx1as in embryonic patterning.,29420831,J Mol Cell Biol
Dynamic placement of the linker histone H1 regulates nucleosome arrangement and coordinates gene transcription in early Drosophila embryos,GSE101330,Drosophila melanogaster,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,29988149,Cell Death Dis
Identification of LEC1 binding sites in soybean embryos at 3 developmental stages,GSE99882,Glycine max,LEAFY COTYLEDON1 (LEC1)， an atypical subunit of the NF-Y CCAAT binding transcription factor， is a central regulator that controls many aspects of seed development including the maturation phase during which seeds accumulate storage macromolecules and embryos acquire the ability to withstand desiccation.    To define the gene network and developmental processes controlled by LEC1， genes regulated directly by and downstream of LEC1 were identified.   In order to identify the genes bound by LEC1 in soybean embryos， we used two antibodies specific for soybean LEC1 (GmLEC1) and performed chromatin immunoprecipitation followed by sequencing (ChIP-Seq) using chromatin isolated from soybean embryos at the cotyledon， early maturation and mid-maturation stages.,Identification of LEC1 binding sites in soybean embryos at 3 developmental stages (cotyledon， early maturation and mid-maturation)， using two distinct antibodies directed against soybean LEC1 (GmLEC1). ChIP and total chromatin controls (input) were obtained for two biological replicates for each stage/antibody combinations.  A total of 16 samples were sequenced using the Illumina HiSeq2000 platform.,28739919,Proc Natl Acad Sci U S A
Transgenerational inheritance of mitochondrial stress adaptation in C. elegans,GSE85835,Caenorhabditis elegans,Using Caenorhabditis elegans to investigate environmental cues-induced mitochondrial dysfunction， we found that exposure to electron transport chain (ETC) inhibitors at the parental generation initiates the transmission of heritable information to descendants and make descendants stress-adaptive. This mitochondrial stress adaptation phenotype can persist for at least three generations. Animals lacking histone H3K4me3 chromatin modifiers， or the methyltransferase of N6-methyldeoxyadenosine (6mA)， lose the ability to initiate stress adaptation in progeny. H3K4me3 plays a role upstream of 6mA， while both mark promoter regions of mitochondrial unfolded protein response (UPR mt ) genes and activate the UPR mt pathway to alleviate mitochondrial damage.,Profile H3K4me3 occupancy in whole body from L3-L4 mix C. elegans， worms were treated with antimycin A (AA) or not treated (NT).,nan,
m6A/m-Seq of human B-lymphocyte cell lines from healthy controls and major depressive disorder patients,GSE113798,Homo sapiens,N6-Methyladenosine (m6A) and N6，2â²-O-dimethyladenosine (m6Am) are abundant mRNA modifications that regulate transcript processing and translation. The role of both， here termed m6A/m， in the human stress response are currently unknown.  Here， we provide m6A/m-Seq of immortalied cell lines derived from B lymphocytes from male healthy donors or male donors diagnosed with major depressive disorder (MDD)， harvested 1 h after treatment with 100 nM cortisol or mock treatment. PolyA-RNA-fragments of each sample was processed both as m6A/m-sample (RNA immunoprecipiation RIP with an m6A and m6Am antibody) and RNA-input sample.,"3 biological replicates of cells from healthy male donors and 3 biological replicates of cells from male donors diagnosed with major depressive disorder each split in two treatment samples: mock treatment (ethanol only) or  100 nM cortisol in ethanol for 1 h creating 4 groups with each 3 biological replicates: healthy-mock: H_x_M， healthy-cortisol: H_x_C， MDD-mock: M_x_M and MDD-cortisol: M_x_C.  Each samples was processed as m6A/m-immunoprecipitation-sample (""m6A"") or as input RNA samples (""RNA""). Additionally， 1 RNA sample (equimolar mixed from all samples) was processed as IgG control.",30048615,Neuron
Multiplexed engineering and analysis of endogenous enhancer activity in single cells: Mosaic-Seq of 10 enhancers in combination,GSE96827,Homo sapiens,Transcriptional enhancers orchestrate cell-type specific gene expression programs critical to eukaryotic development， physiology， and disease. However， despite the large number of enhancers now identified， only a small number have been functionally assessed. Here， we develop MOsaic Single-cell Analysis by Indexed CRISPR Sequencing (Mosaic-seq)， a method that measures one direct phenotype of enhancer repression: change of the transcriptome， at the single cell level. Using dCas9-KRAB to suppress enhancer function， we first implement a multiplexed system to allow the simultaneous measurement of the transcriptome and detection of sgRNAs by single cell RNA sequencing. We validate this approach by targeting the HS2 enhancer in the well-studied beta-globin locus. Next， through computational simulation， we demonstrate strategies to robustly detect changes in gene expression in these single cell measurements. Finally， we use Mosaic-seq to target 71 hypersensitive regions belonging to 15 super-enhancers in K562 cells by utilizing a lentiviral library containing 241 unique-barcoded sgRNAs. Our results demonstrate that Mosaic-seq is a reliable approach to study enhancer function in single cells in a high-throughput manner.,The overall design consists of RNA sequencing in bulk and in single K562 cells. As a control， we performed single-cell RNA sequencing of K562 cells expressing dCas9-KRAB and a control sgRNA targeting the non-expressed HSBP1 gene in two biological replicates. As a pilot project， we performed single cell RNA-Seq of dCas9-KRAB K562 cells after pooled infection of a library of 10 sgRNA viruses targeting promoters and enhancers in the beta-globin locus. As controls for this experiment， we individually infected these 10 sgRNAs and either performed 1) bulk RNA sequencing or 2) single cell RNA sequencing after pooling the separately infected cells. Finally， we scaled this single-cell approach to measure transcriptome changes for a library of 241 sgRNAs spanning 71 hypersensitive sites from 15 super-enhancers in K562 cells. The data in this GEO series relate to the application of Mosaic-Seq for combinatorial repression of enhancers. Four experiments are performed with low MOI， and one is performed at high MOI.,28416141,Mol Cell
